CASE_LBL,Brazil,India,Japan,Korea__South,US,United_Kingdom,Vietnam
3/28/2020,111,24,56,144,2957,1464,0
3/29/2020,136,27,63,152,3573,1676,0
3/30/2020,159,32,65,158,4286,2050,0
3/31/2020,201,35,67,162,5371,2453,0
4/1/2020,240,58,72,165,6655,3125,0
4/2/2020,324,72,75,169,8169,3782,0
4/3/2020,359,72,81,174,9598,4518,0
4/4/2020,445,86,87,177,11166,5274,0
4/5/2020,486,99,93,183,12781,5873,0
4/6/2020,564,136,96,186,14553,6440,0
4/7/2020,686,150,98,192,17126,7545,0
