CASE_LBL,Brazil,India,Japan,Korea__South,US,United_Kingdom,Vietnam
3/28/2020,6,84,404,4811,1072,135,21
3/29/2020,6,95,424,5033,2665,135,25
3/30/2020,120,102,424,5228,5644,135,55
3/31/2020,127,123,424,5408,7024,135,58
4/1/2020,127,148,472,5567,8474,135,63
4/2/2020,127,191,472,5828,9001,135,75
4/3/2020,127,192,514,6021,9707,135,85
4/4/2020,127,229,514,6325,14652,135,90
4/5/2020,127,229,514,6463,17448,135,90
4/6/2020,127,375,575,6598,19581,135,95
4/7/2020,127,421,592,6694,21763,135,123
4/8/2020,127,506,622,6776,23559,135,126
4/9/2020,173,620,632,6973,25410,135,128
4/10/2020,173,774,685,7117,28790,344,144
4/11/2020,173,969,762,7243,31270,344,144
4/12/2020,173,1080,762,7368,32988,344,144
