CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
8/7/2020,99572,42518,1042,304,161480,10,2074533
8/8/2020,100477,43379,1042,305,162556,10,2088132
8/9/2020,101049,44386,1047,305,163079,13,2097015
8/10/2020,101752,45257,1052,305,163713,15,2106781
8/11/2020,103026,46091,1058,305,164738,16,2123746
8/12/2020,104201,47033,1066,305,166243,18,2141796
8/13/2020,105463,48040,1073,305,167307,21,2158960
8/14/2020,106523,49036,1080,305,168644,22,2175191
8/15/2020,107232,49980,1093,305,169644,24,2188931
8/16/2020,107852,50921,1103,305,170260,24,2198057
8/17/2020,108536,51797,1112,306,170753,25,2209291
8/18/2020,109888,52888,1135,306,171979,26,2226905
8/19/2020,111100,53866,1148,307,173316,25,2244097
8/20/2020,112304,54849,1157,309,174420,25,2261252
8/21/2020,113358,55794,1175,309,175508,25,2276737
8/22/2020,114250,56706,1179,309,176419,26,2290272
8/23/2020,114744,57542,1188,309,176964,27,2298826
8/24/2020,115309,58390,1201,310,177439,27,2309509
8/25/2020,116580,59357,1219,312,178669,27,2324805
8/26/2020,117665,60472,1230,313,179831,30,2340921
8/27/2020,118649,61529,1241,316,180946,30,2353835
8/28/2020,119504,62550,1251,321,181924,30,2371009
8/29/2020,120262,63498,1271,323,182839,32,2381426
8/30/2020,120828,64469,1285,324,183280,32,2389620
8/31/2020,121381,65288,1298,324,183821,34,2398609
9/1/2020,122596,66333,1313,326,184850,34,2414650
9/2/2020,123780,67376,1327,329,185923,34,2428563
9/3/2020,124614,68472,1334,331,186954,35,2442299
9/4/2020,125502,69561,1352,333,187911,35,2455436
9/5/2020,126203,70626,1361,334,188673,35,2465756
9/6/2020,126650,71642,1366,336,189145,35,2472351
9/7/2020,126960,72775,1377,341,189440,35,2479755
9/8/2020,127464,73890,1398,344,189895,35,2491355
9/9/2020,128539,75062,1412,346,191056,35,2503251
9/10/2020,129522,76271,1416,350,191975,35,2515093
9/11/2020,130396,77472,1428,355,193139,35,2526805
9/12/2020,131210,78586,1441,358,193850,35,2535655
9/13/2020,131625,79722,1448,363,194273,35,2542023
9/14/2020,132006,80776,1455,367,194705,35,2549457
9/15/2020,133119,82066,1463,367,195903,35,2561176
9/16/2020,134106,83198,1481,372,196865,35,2573595
9/17/2020,134935,84372,1490,377,197723,35,2584245
9/18/2020,135793,85619,1500,378,198614,35,2594951
9/19/2020,136532,86752,1504,383,199346,35,2603583
9/20/2020,136895,87882,1508,385,199612,35,2609702
9/21/2020,137272,88935,1518,388,200037,35,2617578
9/22/2020,138105,90020,1519,388,201066,35,2627954
9/23/2020,138105,91149,1525,393,202122,35,2639688
9/24/2020,139808,92290,1540,395,203022,35,2649980
9/25/2020,140537,93379,1544,399,203962,35,2660658
9/26/2020,141406,94503,1547,401,204731,35,2668754
9/27/2020,141741,95542,1549,406,205046,35,2674659
9/28/2020,142058,96318,1561,407,205404,35,2681746
9/29/2020,142921,97497,1568,413,206240,35,2692394
9/30/2020,143952,98678,1575,415,207198,35,2702456
10/1/2020,144680,99773,1580,416,208067,35,2712668
10/2/2020,144680,100842,1591,420,208927,35,2722792
10/3/2020,145987,101782,1594,421,209609,35,2731226
10/4/2020,146352,102685,1598,422,209987,35,2737189
10/5/2020,146675,103569,1602,422,210468,35,2744646
10/6/2020,147494,104555,1609,425,211154,35,2755216
10/7/2020,148228,105526,1614,427,212077,35,2765511
10/8/2020,148957,106490,1617,428,213066,35,2776549
10/9/2020,149639,107416,1623,430,214035,35,2787642
10/10/2020,150198,108334,1626,432,214692,35,2796342
10/11/2020,150488,109150,1628,433,215157,35,2802211
10/12/2020,150689,109856,1631,434,215554,35,2810251
10/13/2020,150998,110586,1635,438,216355,35,2821757
10/14/2020,151747,111266,1646,439,217342,35,2832184
10/15/2020,152460,112161,1650,441,218184,35,2843864
10/16/2020,153214,112998,1664,443,219132,35,2856757
10/17/2020,153675,114031,1670,444,219893,35,2866889
10/18/2020,153675,114610,1672,444,220380,35,2874129
10/19/2020,154176,115197,1676,447,220868,35,2882590
10/20/2020,154837,115914,1679,450,221791,35,2894685
10/21/2020,155403,116616,1686,453,222910,35,2907529
10/22/2020,155900,117306,1697,455,223804,35,2919940
10/23/2020,156471,117956,1706,457,224769,35,2930620
10/24/2020,156903,118534,1710,457,225721,35,2939752
10/25/2020,157134,119014,1716,457,226182,35,2947134
10/26/2020,157397,119502,1721,460,226715,35,2954860
10/27/2020,157946,120010,1726,461,227689,35,2967480
10/28/2020,158456,120527,1731,462,228723,35,2982818
10/29/2020,158969,121090,1748,463,229727,35,2997651
10/30/2020,159477,121641,1756,464,230786,35,3011549
10/31/2020,159884,122111,1769,466,231710,35,3024409
11/1/2020,160074,122607,1776,468,232209,35,3033788
11/2/2020,160253,123097,1787,472,232783,35,3043673
11/3/2020,160496,123611,1794,474,234358,35,3057507
11/4/2020,161106,124315,1799,475,235474,35,3071606
11/5/2020,161106,124985,1806,476,236633,35,3085280
11/6/2020,162015,125562,1810,477,237864,35,3098529
11/7/2020,162269,126121,1815,478,238945,35,3111081
11/8/2020,162397,126611,1821,480,239518,35,3120141
11/9/2020,162628,127059,1834,485,240297,35,3131034
11/10/2020,162802,127571,1840,487,241716,35,3145347
11/11/2020,163368,128121,1847,487,243150,35,3160305
11/12/2020,164281,128668,1854,488,244358,35,3174198
11/13/2020,164737,129188,1864,492,245560,35,3189390
11/14/2020,165658,129635,1865,493,246906,35,3202678
11/15/2020,165798,130070,1874,494,247684,35,3213106
11/16/2020,166014,130519,1883,494,248518,35,3224757
11/17/2020,166699,130993,1895,496,250237,35,3239720
11/18/2020,167455,131578,1908,498,252156,35,3255770
11/19/2020,168061,132162,1920,501,254213,35,3271529
11/20/2020,168613,132726,1930,503,256169,35,3285547
11/21/2020,168989,133227,1932,505,257790,35,3298813
11/22/2020,169183,133738,1943,509,258826,35,3308838
11/23/2020,169485,134218,1949,510,259925,35,3320640
11/24/2020,170115,134699,1963,513,262056,35,3334704
11/25/2020,170769,135223,1983,515,264315,35,3349588
11/26/2020,171460,135715,1996,516,265703,35,3364240
11/27/2020,171974,136200,2028,522,267254,35,3378637
11/28/2020,172561,136696,2042,523,268619,35,3391938
11/29/2020,172833,137139,2057,526,269658,35,3402147
11/30/2020,173120,137621,2076,526,271006,35,3413272
12/1/2020,173817,138122,2109,526,273557,35,3427515
12/2/2020,174515,138648,2141,529,276372,35,3441371
12/3/2020,175270,139188,2174,536,279316,35,3455058
12/4/2020,175964,139700,2210,540,282017,35,3468123
12/5/2020,176628,140182,2229,545,284375,35,3480329
12/6/2020,176941,140573,2259,549,285727,35,3490385
12/7/2020,177317,140958,2299,552,287336,35,3501591
12/8/2020,178159,141360,2334,556,289959,35,3515792
12/9/2020,178995,141772,2376,564,293136,35,3529361
12/10/2020,179765,142185,2395,572,296132,35,3542419
12/11/2020,180437,142628,2446,578,299542,35,3555430
12/12/2020,181123,143019,2462,580,302012,35,3566965
12/13/2020,181402,143355,2481,587,303646,35,3576721
12/14/2020,181835,143709,2530,600,305299,35,3585776
12/15/2020,182799,144096,2581,612,308414,35,3598962
12/16/2020,183735,144451,2623,634,312084,35,3611695
12/17/2020,184827,144789,2661,645,315584,35,3624744
12/18/2020,185650,145136,2709,659,318558,35,3636703
12/19/2020,186356,145477,2749,674,321211,35,3647454
12/20/2020,186764,145810,2784,698,322933,35,3655575
12/21/2020,187291,146111,2833,722,324857,35,3664288
12/22/2020,188259,146444,2877,739,328262,35,
12/23/2020,189220,146756,2941,756,331694,35,
12/24/2020,189982,147092,2967,773,334592,35,
12/25/2020,190488,147343,3016,793,336026,35,
12/26/2020,190795,147622,3062,808,337918,35,
12/27/2020,191139,147901,3100,819,339354,35,
12/28/2020,191570,148153,3152,859,341362,35,
12/29/2020,192681,148439,3196,879,344996,35,
12/30/2020,193875,148738,3243,900,348748,35,
12/31/2020,194949,148738,3292,917,352210,35,
1/1/2021,195411,148994,3540,942,354365,35,
1/2/2021,195725,149435,3571,962,356880,35,
1/3/2021,196018,149649,3631,981,358333,35,
1/4/2021,196561,149850,3679,1007,360426,35,
1/5/2021,197732,150114,3755,1027,364136,35,
1/6/2021,198974,150336,3820,1046,368040,35,
1/7/2021,200498,150570,3884,1081,372033,35,
1/8/2021,201460,150570,3962,1100,376143,35,
1/9/2021,202631,150999,4021,1125,379468,35,
1/10/2021,203100,151160,4066,1140,381471,35,
1/11/2021,203580,151327,4114,1165,383577,35,
1/12/2021,204690,151529,4178,1185,388052,35,
1/13/2021,205964,151727,4275,1195,392065,35,
1/14/2021,207095,151918,4341,1217,396052,35,
1/15/2021,208246,152093,4419,1236,399939,35,
1/16/2021,209296,152274,4475,1249,403362,35,
1/17/2021,209847,152419,4524,1264,405245,35,
1/18/2021,210299,152556,4582,1283,406798,35,
1/19/2021,211491,152718,4686,1300,409521,35,
1/20/2021,212831,152869,4778,1316,413927,35,
1/21/2021,214147,153032,4872,1328,418119,35,
1/22/2021,215243,153184,4980,1337,421965,35,
1/23/2021,216445,153339,5063,1349,425311,35,
1/24/2021,217037,153470,5119,1360,427203,35,
