CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam
7/3/2020,1539081,648315,19185,13030,2802040,355
7/4/2020,1577004,673165,19461,13091,2847733,355
7/5/2020,1603055,697413,19668,13137,2898480,355
7/6/2020,1623284,719664,19848,13181,2941586,369
7/7/2020,1668589,742417,20055,13244,3002247,369
7/8/2020,1713160,767296,20261,13293,3062366,369
7/9/2020,1755779,793802,20617,13338,3124875,369
7/10/2020,1800827,820916,21044,13373,3192932,370
7/11/2020,1839850,849522,21430,13417,3252949,370
7/12/2020,1864681,878254,21841,13479,3311373,372
7/13/2020,1884967,906752,22125,13512,3370303,373
7/14/2020,1926824,936181,22437,13551,3438354,373
7/15/2020,1966748,968857,23172,13612,3506444,381
7/16/2020,2012151,1003832,23510,13672,3582310,381
7/17/2020,2046328,1039084,24104,13711,3654546,382
7/18/2020,2074860,1077781,24946,13745,3717082,382
7/19/2020,2098389,1118206,25446,13771,3777538,383
7/20/2020,2118646,1155338,25706,13816,3839645,384
7/21/2020,2159654,1193078,26463,13879,3904106,401
7/22/2020,2227514,1238798,27136,13938,3974685,408
7/23/2020,2287475,1288108,28114,13979,4043130,412
7/24/2020,2343366,1337024,28883,14092,4116449,415
7/25/2020,2394513,1385635,29684,14150,4181402,417
7/26/2020,2419091,1435616,30548,14175,4236218,420
7/27/2020,2442375,1480073,31142,14203,4293001,431
7/28/2020,2483191,1531669,32116,14251,4359413,446
7/29/2020,2552265,1581963,33382,14269,4431286,459
7/30/2020,2610102,1634746,35144,14305,4498752,509
7/31/2020,2662485,1695988,36234,14336,4567464,558
8/1/2020,2707877,1750723,37804,14366,4623665,590
8/2/2020,2733677,1803695,39116,14389,4669233,621
8/3/2020,2750318,1855745,40099,14423,4714734,652
8/4/2020,2801921,1908254,41347,14456,4773508,672
8/5/2020,2859073,1964536,42686,14499,4827974,717
8/6/2020,2912212,2027074,44167,14519,4887323,750
8/7/2020,2962442,2088611,45764,14562,4946626,789
8/8/2020,3012412,2153010,47342,14598,5000760,812
8/9/2020,3035422,2215074,48782,14626,5046529,841
8/10/2020,3057470,2268675,49617,14660,5094135,847
8/11/2020,3109630,2329638,50302,14714,5142138,866
8/12/2020,3164785,2396637,51288,14770,5198178,883
8/13/2020,3224876,2461190,52471,14873,5249494,911
8/14/2020,3275520,2525922,53818,15039,5314830,930
8/15/2020,3317096,2589952,55051,15318,5361781,951
8/16/2020,3340197,2647663,56074,15515,5400993,964
8/17/2020,3359570,2702681,56717,15761,5437645,983
8/18/2020,3407354,2767253,57636,16058,5482678,989
8/19/2020,3456652,2836925,58728,16346,5529998,994
8/20/2020,3501975,2905825,59900,16670,5574039,1007
8/21/2020,3532330,2975701,60949,17002,5622882,1009
8/22/2020,3582362,3044940,61916,17399,5665946,1014
8/23/2020,3605783,3106348,62658,17665,5700193,1016
8/24/2020,3622861,3167323,63158,17945,5736675,1022
8/25/2020,3669995,3224547,63888,18265,5777029,1029
8/26/2020,3717156,3310234,64779,18706,5822201,1034
8/27/2020,3761391,3387500,65653,19077,5867594,1036
8/28/2020,3804803,3463972,66499,19400,5914426,1038
8/29/2020,3846153,3542733,67353,19699,5957180,1040
8/30/2020,3862311,3621245,67958,19947,5991584,1040
8/31/2020,3908272,3691166,68396,20182,6026946,1044
9/1/2020,3950931,3769523,69023,20449,6068792,1044
9/2/2020,3997865,3853406,69619,20644,6109810,1046
9/3/2020,4041638,3936747,70278,20842,6154061,1046
9/4/2020,4091801,4023179,70866,21010,6204443,1049
9/5/2020,4123000,4113811,71467,21177,6247601,1049
9/6/2020,4137521,4204613,71918,21296,6278819,1049
9/7/2020,4147794,4280422,72213,21432,6302432,1049
9/8/2020,4162073,4370128,72724,21588,6329658,1054
9/9/2020,4197889,4465863,73264,21743,6363707,1059
9/10/2020,4238446,4562414,73916,21919,6399763,1059
9/11/2020,4282164,4659984,74558,22055,6447532,1060
9/12/2020,4315687,4754356,75206,22176,6488633,1060
9/13/2020,4330455,4846427,75646,22285,6523005,1063
9/14/2020,4345610,4930236,75914,22391,6557428,1063
9/15/2020,4382263,5020359,76446,22504,6596920,1063
9/16/2020,4419083,5118253,76997,22657,6635950,1063
9/17/2020,4455386,5214677,77488,22783,6681080,1066
9/18/2020,4495183,5308014,78061,22893,6730362,1068
9/19/2020,4528240,5400619,78662,22975,6772564,1068
9/20/2020,4544629,5487580,79142,23045,6811011,1068
9/21/2020,4558040,5562663,79462,23106,6862889,1068
9/22/2020,4591364,5646010,79773,23216,6902755,1068
9/23/2020,4591364,5732518,80009,23341,6941824,1069
9/24/2020,4657702,5818570,80490,23455,6988927,1069
9/25/2020,4689613,5903932,81054,23516,7037222,1069
9/26/2020,4717991,5992532,81703,23611,7081895,1069
9/27/2020,4732309,6074702,82186,23661,7119423,1074
9/28/2020,4745464,6145291,82484,23699,7152717,1077
9/29/2020,4777522,6225763,83022,23812,7196055,1094
9/30/2020,4810935,6312584,83591,23889,7235498,1094
10/1/2020,4847092,6394068,84244,23952,7281148,1095
10/2/2020,4847092,6473544,84768,24027,7336098,1096
10/3/2020,4906833,6549373,85345,24091,7384675,1096
10/4/2020,4915289,6623815,85746,24164,7420413,1096
10/5/2020,4927235,6685082,86027,24239,7459789,1097
10/6/2020,4969141,6757131,86540,24353,7505078,1098
10/7/2020,5000694,6835655,87039,24422,7556134,1099
10/8/2020,5028444,6906151,87679,24476,7614733,1100
10/9/2020,5055888,6979423,88267,24548,7671117,1105
10/10/2020,5082637,7053806,88962,24606,7726070,1107
10/11/2020,5094979,7120538,89400,24703,7772051,1109
10/12/2020,5103408,7175880,89652,24805,7813825,1110
10/13/2020,5113628,7239389,90153,24889,7866056,1113
10/14/2020,5140863,7307097,90694,24988,7925834,1122
10/15/2020,5169386,7370468,91402,25035,7990714,1124
10/16/2020,5200300,7432680,92044,25108,8059861,1124
10/17/2020,5224362,7494551,92670,25199,8116620,1126
10/18/2020,5224362,7550273,93098,25275,8165987,1134
10/19/2020,5250727,7597063,93408,25333,8233704,1140
10/20/2020,5273954,7651107,93895,25424,8295660,1141
10/21/2020,5298772,7706946,94515,25543,8358961,1144
10/22/2020,5323630,7761312,95134,25698,8435271,1148
10/23/2020,5353656,7814682,95868,25775,8517204,1148
10/24/2020,5380635,7864811,96599,25836,8599971,1160
10/25/2020,5394128,7909959,97095,25955,8662175,1168
10/26/2020,5409854,7946429,97503,26043,8729485,1169
10/27/2020,5439641,7990322,98146,26146,8806323,1172
10/28/2020,5468270,8040203,98877,26271,8885749,1173
10/29/2020,5494376,8088851,99674,26385,8976768,1177
10/30/2020,5516658,8137119,100450,26511,9076032,1177
10/31/2020,5535605,8184082,101327,26635,9165786,1180
11/1/2020,5545705,8229313,101943,26732,9270686,1180
11/2/2020,5554206,8267623,102431,26807,9355897,1192
11/3/2020,5566049,8313876,103309,26925,9483095,1202
11/4/2020,5590025,8364086,103928,27050,9587636,1203
11/5/2020,5590025,8411724,104964,27195,9717003,1207
11/6/2020,5631181,8462080,106136,27284,9845036,1212
11/7/2020,5653561,8507754,107439,27427,9972546,1213
11/8/2020,5664115,8553657,108394,27553,10087716,1213
11/9/2020,5675032,8591730,109191,27653,10208150,1215
11/10/2020,5699005,8636011,110487,27799,10348654,1226
11/11/2020,5747660,8683916,112011,27942,10495404,1252
11/12/2020,5781582,8728795,113655,28133,10660154,1253
11/13/2020,5810652,8773479,115360,28338,10840552,1256
11/14/2020,5848959,8814579,117113,28546,11008478,1265
11/15/2020,5863093,8845127,118611,28769,11144834,1281
11/16/2020,5876464,8874290,119557,28998,11307458,1283
11/17/2020,5911758,8912907,121247,29311,11471416,1288
11/18/2020,5945849,8958483,123477,29654,11644667,1300
11/19/2020,5981767,9004365,125859,30017,11836177,1304
11/20/2020,6020164,9050597,128285,30403,12034510,1305
11/21/2020,6052786,9095806,130871,30733,12213946,1306
11/22/2020,6071401,9139865,133034,31004,12360893,1307
11/23/2020,6087608,9177840,134554,31353,12534982,1312
11/24/2020,6118708,9222216,135786,31735,12710526,1316
11/25/2020,6166606,9266705,137735,32318,12893929,1321
11/26/2020,6204220,9309787,140225,32887,13006455,1331
11/27/2020,6238350,9351109,142778,33375,13214388,1339
11/28/2020,6290272,9392919,145457,33824,13370049,1341
11/29/2020,6314740,9431691,147515,34201,13510377,1343
11/30/2020,6335878,9462809,148962,34652,13670698,1347
12/1/2020,6386787,9499413,150976,35163,13859037,1351
12/2/2020,6436650,9534964,153432,35703,14061931,1358
12/3/2020,6487084,9571559,155938,36332,14285352,1361
12/4/2020,6533968,9608211,158387,36915,14517996,1361
12/5/2020,6577177,9644222,160870,37546,14733807,1365
12/6/2020,6603540,9677203,162917,38161,14915060,1366
12/7/2020,6623911,9703770,164434,38755,15109469,1367
12/8/2020,6674999,9735850,166592,39432,15333921,1377
12/9/2020,6728452,9767371,169429,40098,15556569,1381
12/10/2020,6781799,9796744,172406,40786,15787997,1385
12/11/2020,6836227,9826775,175310,41736,16028086,1391
12/12/2020,6880127,9857029,178272,42766,16245883,1395
12/13/2020,6901952,9884100,180639,43484,16433854,1397
12/14/2020,6927145,9906165,182311,44364,16628168,1402
12/15/2020,6970034,9932547,184752,45442,16837160,1405
12/16/2020,7040608,9956557,187751,46453,17083804,1405
12/17/2020,7110434,9979447,190950,47515,17323704,1407
12/18/2020,7162978,10004599,193753,48570,17575536,1410
12/19/2020,7213155,10031223,196815,49665,17767638,1411
12/20/2020,7238600,10055560,199270,50591,17955653,1413
12/21/2020,7263619,10075116,201074,51460,18154356,1414
12/22/2020,7318821,10099066,203732,52550,18352463,1420
12/23/2020,7365517,10123778,207007,53533,18582087,1421
12/24/2020,7423945,10146845,210769,54770,18776242,1432
12/25/2020,7448560,10169118,214575,55902,18874122,1439
12/26/2020,7465806,10187850,218467,56872,19100538,1440
12/27/2020,7484285,10207871,221412,57680,19256383,1441
12/28/2020,7504833,10224303,223786,58725,19430535,1451
12/29/2020,7563551,10244852,227415,59773,19630943,1454
12/30/2020,7619200,10266674,231271,60740,19864644,1456
12/31/2020,7675973,10266674,235811,61769,20100244,1465
1/1/2021,7700578,10286709,239068,62593,20254160,1474
1/2/2021,7716405,10323965,242097,63244,20554622,1482
1/3/2021,7733746,10340469,245293,64264,20763475,1494
1/4/2021,7753752,10356844,248625,64979,20947480,1497
1/5/2021,7810400,10374932,253571,65818,21182522,1504
1/6/2021,7873830,10395278,259521,66686,21438159,1505
1/7/2021,7961673,10413417,267084,67358,21716496,1509
1/8/2021,8013708,10413417,274947,67999,22011753,1512
1/9/2021,8075998,10450284,282737,68664,22272720,1513
1/10/2021,8105790,10466595,288818,69114,22486135,1514
1/11/2021,8131612,10479179,293746,69651,22700799,1515
1/12/2021,8195637,10495147,298321,70212,22927766,1520
1/13/2021,8256536,10512093,304140,70728,23158067,1521
1/14/2021,8324294,10527683,310734,71241,23393833,1531
1/15/2021,8393492,10542841,317871,71820,23636613,1536
1/16/2021,8455059,10557985,324942,72340,23838471,1537
1/17/2021,8488099,10571773,330715,72729,24016402,1537
1/18/2021,8511770,10581823,335605,73115,24160000,1539
1/19/2021,8573864,10595639,340989,73518,24336216,1540
1/20/2021,8638249,10610883,346508,73918,24519477,1544
1/21/2021,8697368,10625428,352129,74262,24713333,1546
1/22/2021,8753920,10639684,357174,74692,24904093,1548
1/23/2021,8816254,10654533,361928,75084,25074852,1548
1/24/2021,8844577,10667736,365899,75521,25206050,1548
1/25/2021,8871393,10676838,368684,75875,25357727,1549
1/26/2021,8933356,10689527,372545,76429,25505353,1551
1/27/2021,8996876,10701193,376482,76926,25659314,1553
1/28/2021,9058687,10720048,380644,77395,25828118,1651
1/29/2021,9118513,10733130,384180,77850,25994731,1657
1/30/2021,9176975,10746174,387499,78205,26137190,1767
1/31/2021,9204731,10757610,390166,78508,26249342,1817
2/1/2021,9229322,10766245,391956,78844,26384317,1850
2/2/2021,9283418,10777284,394269,79311,26499620,1882
2/3/2021,9339420,10790183,396900,79762,26621311,1948
2/4/2021,9396293,10802591,399492,80131,26745317,1957
2/5/2021,9447165,10814304,401858,80524,26879739,1976
2/6/2021,9447165,10826363,404128,80896,26983915,1985
2/7/2021,9524640,10838194,405765,81185,27073661,2001
2/8/2021,9524640,10847304,406992,81487,27164099,2050
2/9/2021,9599565,10858371,408550,81930,27259364,2064
2/10/2021,9659167,10871294,410434,82434,27354614,2091
2/11/2021,9713909,10880603,412125,82837,27460378,2140
2/12/2021,9765455,10892746,413441,83199,27560048,2142
2/13/2021,9809754,10904940,414803,83525,27647267,2195
2/14/2021,9834513,10916589,416154,83869,27712402,2228
2/15/2021,9866710,10925710,417127,84325,27766681,2269
2/16/2021,9921981,10937320,418435,84946,27829179,2311
2/17/2021,9978747,10950201,419896,85567,27899318,2329
2/18/2021,10030626,10963394,421421,86128,27969229,2347
2/19/2021,10084208,10977387,422718,86574,28048511,2362
2/20/2021,10139148,10991651,423952,86992,28120119,2368
2/21/2021,10168174,11005850,424988,87324,28177280,2383
2/22/2021,10195160,11016434,425725,87681,28233431,2392
2/23/2021,10257875,11030176,426828,88120,28305709,2403
2/24/2021,10324463,11046914,427732,88516,28380445,2412
2/25/2021,10390461,11063491,428816,88922,28457959,2421
2/26/2021,10455630,11079979,429873,89321,28535292,2426
2/27/2021,10517232,11096731,431093,89676,28599936,2432
2/28/2021,10551259,11112241,432090,90031,28651355,2448
3/1/2021,10587001,11124527,432778,90372,28709454,2448
3/2/2021,10646926,11139516,433700,90816,28766544,2475
3/3/2021,10718630,11156923,434944,91240,28833745,2482
3/4/2021,10793732,11173761,436093,91638,28901802,2488
3/5/2021,10869227,11192045,437222,92055,28968231,2494
3/6/2021,10938836,11210799,437634,92471,29026478,2501
3/7/2021,11019344,11229398,439356,92817,29067553,2512
3/8/2021,11051665,11244786,439977,93263,29112472,2524
3/9/2021,11122429,11262707,441152,93733,29170126,2526
3/10/2021,11202305,11285561,442411,94198,29228034,2529
3/11/2021,11277717,11308846,443714,94686,29290495,2533
3/12/2021,11363380,11333728,444977,95176,29352006,2550
3/13/2021,11439558,11359048,446312,95635,29405035,2553
3/14/2021,11483370,11385339,447287,96017,29443317,2554
3/15/2021,11519609,11409831,448000,96380,29499863,2557
3/16/2021,11603535,11438734,449142,96849,29553856,2560
3/17/2021,11693838,11474605,450687,97294,29613135,2567
3/18/2021,11780820,11514331,452147,97757,29673509,2570
3/19/2021,11871390,11555284,453616,98209,29735175,2571
3/20/2021,11950459,11599130,455212,98665,29790671,2572
3/21/2021,11998233,11646081,456318,99075,29824511,2572
3/22/2021,12047526,11686796,457104,99421,29875944,2575
3/23/2021,12130019,11734058,458621,99846,29929612,2575
3/24/2021,12220011,11787534,460595,100276,30016566,2576
3/25/2021,12320169,11846652,462506,100770,30084115,2579
3/26/2021,12404414,11908910,464483,101275,30161485,2586
3/27/2021,12490362,11971624,466563,101757,30224333,2586
3/28/2021,12534688,12039644,468346,102141,30267553,2591
3/29/2021,12573615,12095855,469636,102582,30336835,2594
3/30/2021,12658109,12149335,471777,103088,30398261,2594
3/31/2021,12748747,12221665,474641,103639,30465030,2603
4/1/2021,12839844,12303131,477239,104194,30544145,2617
4/2/2021,12910082,12392260,479953,104736,30614031,2620
4/3/2021,12953597,12485509,482704,105279,30677289,2626
4/4/2021,12984956,12589067,485226,105752,30712415,2631
4/5/2021,13013601,12686049,486792,106230,30789814,2637
4/6/2021,13100580,12801785,489407,106898,30850504,2648
4/7/2021,13193205,12928574,492860,107598,30925509,2659
4/8/2021,13279857,13060542,496351,108269,31005391,2668
4/9/2021,13373174,13205926,499831,108945,31088104,2683
4/10/2021,13445006,13358805,503537,109559,31154800,2692
4/11/2021,13482023,13527717,506237,110146,31201306,2693
4/12/2021,13517808,13689453,508350,110688,31271399,2705
4/13/2021,13599994,13873825,511799,111419,31349356,2714
4/14/2021,13673507,14074564,517281,112117,31424769,2733
4/15/2021,13746681,14291917,521796,112789,31499073,2758
4/16/2021,13832455,14526609,526307,113444,31579124,2772
4/17/2021,13900091,14788003,531109,114115,31631670,2781
4/18/2021,13943071,15061805,535220,114646,31673784,2785
4/19/2021,13973695,15320972,537494,115195,31741907,2791
4/20/2021,14043076,15616130,542467,115926,31802848,2800
4/21/2021,14122795,15930774,547836,116661,31865707,2812
4/22/2021,14167973,16263695,553362,117458,31932976,2824
4/23/2021,14237078,16610481,558376,118243,31995381,2830
4/24/2021,14308215,16960172,563998,118887,32048873,2833
4/25/2021,14340787,17313163,568621,119387,32081038,2843
4/26/2021,14369423,17636186,571904,119898,32128604,2852
4/27/2021,14441563,17997113,576870,120673,32179445,2857
4/28/2021,14521289,18376421,580666,121351,32234586,2865
4/29/2021,14590678,18762976,588580,122007,32292841,2910
4/30/2021,14659011,19164969,593264,122634,32350761,2928
5/1/2021,14725975,19557457,599253,123240,32396144,2942
5/2/2021,14754910,19925517,605150,123728,32425548,2962
5/3/2021,14779529,20282833,609625,124269,32476040,2985
5/4/2021,14856888,20664979,613822,124945,32516756,2995
5/5/2021,14930183,21077410,617890,125519,32561469,3030
5/6/2021,15003563,21491598,622273,126044,32609021,3090
5/7/2021,15082449,21892676,628319,126745,32657158,3137
5/8/2021,15145879,22296081,635568,127309,32690834,3245
5/9/2021,15184790,22662575,642146,127772,32712264,3412
5/10/2021,15209990,22992517,647003,128283,32749068,3489
5/11/2021,15282705,23340938,653363,128918,32782712,3571
5/12/2021,15359397,23703665,660884,129633,32818551,3658
5/13/2021,15433989,24046809,667251,130380,32856627,3740
5/14/2021,15519525,24372907,673539,131061,32898886,3816
5/15/2021,15586534,24684077,679870,131671,32927740,4112
5/16/2021,15627243,24965463,685135,132290,32944627,4212
5/17/2021,15657391,25228996,688873,132818,32973249,4359
5/18/2021,15732836,25496330,694077,133471,33001039,4512
5/19/2021,15812055,25772440,699931,134117,33030332,4720
5/20/2021,15894094,26031991,705641,134678,33060540,4809
5/21/2021,15970949,26289290,710895,135344,33088492,4941
5/22/2021,16047439,26530132,715880,135929,33108291,5119
5/23/2021,16083258,26752447,719925,136467,33121157,5275
5/24/2021,16120756,26948874,722668,136983,33146976,5404
5/25/2021,16194209,27157795,726586,137682,33169715,5931
5/26/2021,16274695,27369093,731071,138311,33193687,6086
5/27/2021,16342162,27555457,735234,138898,33221141,6356
5/28/2021,16391930,27729247,738935,139431,33242999,6396
5/29/2021,16471600,27894800,742539,139910,33254998,6908
5/30/2021,16515120,28047534,745392,140340,33261731,7107
5/31/2021,16545554,28175044,747188,140799,33267507,7432
6/1/2021,16624480,28307832,749829,141476,33290450,7625
6/2/2021,16720081,28441986,752865,142157,33307363,7870
6/3/2021,16803472,28574350,755713,142852,33326437,8063
6/4/2021,16841408,28694879,758290,143596,33343297,8364
6/5/2021,16907425,28809339,760953,144152,33357205,8580
6/6/2021,16947062,28909975,762980,144637,33362600,8791
6/7/2021,16984218,28996473,764185,145091,33378096,9027
6/8/2021,17037129,29089069,766068,145692,33391107,9222
6/9/2021,17122877,29182532,768313,146303,33409753,9635
6/10/2021,17210969,29274823,770357,146859,33424296,9835
6/11/2021,17296118,29359155,772293,147422,33449000,10048
6/12/2021,17374818,29439989,774240,147874,33457228,10337
6/13/2021,17412766,29510410,775624,148273,33462003,10630
6/14/2021,17452612,29570881,776565,148647,33474734,10881
6/15/2021,17533221,29633105,777979,149191,33486038,11304
6/16/2021,17628588,29700313,779696,149731,33498468,11794
6/17/2021,17702630,29762793,781241,150238,33508867,12150
6/18/2021,17801462,29823546,782877,150720,33529475,12508
6/19/2021,17883750,29881772,784384,151149,33537995,12978
6/20/2021,17927928,29935221,785702,151506,33541887,13258
6/21/2021,17966831,29977861,786566,151901,33554275,13530
