CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
3/31/2020,127,123,424,5408,7024,58,18547611
4/1/2020,127,148,472,5567,8474,63,18787878
4/2/2020,127,191,472,5828,9001,75,19004539
4/3/2020,127,192,514,6021,9707,85,19228209
4/4/2020,127,229,514,6325,14652,90,19451143
4/5/2020,127,229,514,6463,17448,90,19638991
4/6/2020,127,375,575,6598,19581,95,19867490
4/7/2020,127,421,592,6694,21763,123,20093777
4/8/2020,127,506,622,6776,23559,126,20323254
4/9/2020,173,620,632,6973,25410,128,20543465
4/10/2020,173,774,685,7117,28790,144,20794614
4/11/2020,173,969,762,7243,31270,144,21031599
4/12/2020,173,1080,762,7368,32988,144,21268676
4/13/2020,173,1181,784,7447,43482,146,21514154
4/14/2020,3046,1359,799,7534,47763,169,21733547
4/15/2020,14026,1432,853,7616,52096,171,21996960
4/16/2020,14026,1768,901,7757,54703,177,22252630
4/17/2020,14026,2041,935,7829,58545,198,22491838
4/18/2020,14026,2463,1069,7937,64840,201,22753981
4/19/2020,22130,2854,1159,8042,70337,202,22967860
4/20/2020,22130,3273,1159,8114,72329,214,23190402
4/21/2020,22991,3975,1239,8213,75204,216,23431686
4/22/2020,25318,4370,1356,8277,77366,223,23679904
4/23/2020,26573,5012,1494,8501,80203,224,23901446
4/24/2020,27655,5498,1530,8635,99079,220,24073731
4/25/2020,29160,5939,1656,8717,100372,225,24329332
4/26/2020,30152,6523,1809,8764,106988,225,24551491
4/27/2020,31142,7137,1899,8854,111424,225,24788959
4/28/2020,32544,7747,1899,8922,115936,222,25021585
4/29/2020,34132,8437,2368,9059,120720,222,25276776
4/30/2020,35935,9068,2460,9072,153947,219,25496282
5/1/2020,38039,10007,2975,9123,164015,219,25703072
5/2/2020,40937,10819,3205,9183,175382,219,25898477
